job_id,title,description,proposals,payment_verified,client_spending,client_rating,posted_time_seconds,job_type,budget,hourly_rate,quality_label,labeled_at,source
excellent_18,DevOps Engineer - FinTech Education Platform,"Leading online education platform seeking DevOps Engineer for comprehensive course on cloud architecture. Responsibilities: create curriculum for 1+ year-hour course covering React, Node.js, PostgreSQL, testing; write detailed lesson scripts; create code examples and exercises; record video tutorials; develop hands-on projects. Requirements: 5+ years Go experience, previous teaching/content creation, excellent verbal and written communication, native/near-native English proficiency. Course target audience: professionals looking to build frontend skills. Budget: $9498-$19406 for complete course. Timeline: 3 months with milestone-based payments. Our platform has served 500K+ students. We provide full production support and marketing.",12,True,74291,4.821724420333093,5579,fixed,12900,93,excellent,2026-01-13T00:30:57.233221,generated
spam_22,MAKE $5000 IN 30 DAYS - GUARANTEED,Revolutionary business opportunity. Call now: 555-123-4567 or email hiring@example.com. Limited time offer!!!,98,False,206,2.0338544922594357,31374,hourly,176,10,spam,2026-01-13T00:30:57.228477,generated
poor_1,worker needed cheap,looking for someone cheap to do this. budget $43. must be done today,63,True,1962,3.8452595930634583,15354,fixed,44,18,poor,2026-01-13T00:30:57.229347,generated
good_65,Designer for FinTech Project,"Seeking an experienced Designer to create a mobile app for our FinTech platform. We need 13 pages (high-quality each). Requirements: Strong JavaScript skills, technical background in web development, ability to analytical. Rate: $55-$62 per hour.",16,True,6500,4.368679129299165,37728,fixed,1676,53,good,2026-01-13T00:30:57.231999,generated
good_6,Manager for FinTech Project,"Seeking an experienced Manager to create a mobile app for our FinTech platform. We need 6 pages (responsive each). Requirements: Strong React skills, technical background in data science, ability to communication. Rate: $32-$83 per hour.",15,True,22648,4.7560854908308885,25710,hourly,1003,47,good,2026-01-13T00:30:57.230299,generated
spam_27,Work from Home - Earn $8000/week!!!,Amazing opportunity to work from home and earn big money!!! No experience needed. Contact me at 555-333-2222 or email: contact@work.net for more details. Must call now!!!,50,False,430,2.177408956093383,32118,hourly,175,8,spam,2026-01-13T00:30:57.228554,generated
good_60,React Specialist for medium-term Project,"We have 500GB of analytics data and need statistical analysis. Deliverables include: data model, statistical analysis, insights report, and actionable insights report. Requirements: React proficiency, Vue experience, Django skills. Budget: $928-$1861.",18,True,25812,4.153293910434043,29262,hourly,1928,52,good,2026-01-13T00:30:57.231858,generated
poor_39,simple job,easy task need done fast. low pay but quick work,65,True,780,2.663419142080783,15043,fixed,81,11,poor,2026-01-13T00:30:57.229759,generated
good_49,Vue.js Engineer - E-commerce Site,"Looking for a skilled Vue.js Engineer to create. You'll work with our existing React and create a dashboard. Requirements: Vue.js expertise, experience with FastAPI, communication skills. Budget: $532-$2509. Project duration: 2 weeks.",10,True,10945,4.31398535365803,12488,hourly,1254,42,good,2026-01-13T00:30:57.231534,generated
poor_36,person needed cheap,looking for someone cheap to do this. budget $14. must be done today,47,False,1002,2.6361095337614295,13222,fixed,61,11,poor,2026-01-13T00:30:57.229731,generated
poor_29,helper needed cheap,looking for someone cheap to do this. budget $47. must be done today,49,True,511,2.5051107244469955,25579,fixed,92,13,poor,2026-01-13T00:30:57.229661,generated
poor_40,simple job,easy task need done fast. low pay but quick work,67,False,145,2.6342593804868786,60360,fixed,46,10,poor,2026-01-13T00:30:57.229768,generated
poor_32,help needed urgently,i have a thing that needs doing. not much money but wont take long,48,False,759,2.530724403249195,159459,fixed,72,15,poor,2026-01-13T00:30:57.229691,generated
good_4,Angular Consultant - E-commerce Site,"Looking for a skilled Angular Consultant to create. You'll work with our existing Python and create a dashboard. Requirements: Angular expertise, experience with FastAPI, communication skills. Budget: $508-$2753. Project duration: 1 month.",12,True,10034,4.568763206288984,13022,fixed,1257,41,good,2026-01-13T00:30:57.230232,generated
good_8,Node.js Specialist for long-term Project,"We have 500GB of customer data and need statistical analysis. Deliverables include: data model, dashboard, recommendations, and actionable insights report. Requirements: Node.js proficiency, Vue experience, Node.js skills. Budget: $831-$2646.",24,True,22897,4.789022767010629,7980,fixed,1281,51,good,2026-01-13T00:30:57.230357,generated
excellent_21,DevOps Engineer - Logistics Education Platform,"Leading online education platform seeking DevOps Engineer for comprehensive course on cloud architecture. Responsibilities: create curriculum for 6+ months-hour course covering AWS, Django, MongoDB, testing; write detailed lesson scripts; create code examples and exercises; record video tutorials; develop hands-on projects. Requirements: 10+ years Go experience, previous teaching/content creation, excellent verbal and written communication, native/near-native English proficiency. Course target audience: professionals looking to build frontend skills. Budget: $13411-$21972 for complete course. Timeline: 8-10 weeks with milestone-based payments. Our platform has served 100K+ students. We provide full production support and marketing.",19,True,176822,4.943333811384726,7972,fixed,18769,80,excellent,2026-01-13T00:30:57.233344,generated
good_57,Django Specialist for short-term Project,"We have 1 year of transaction data and need statistical analysis. Deliverables include: ETL pipeline, statistical analysis, recommendations, and implementation plan report. Requirements: Django proficiency, React experience, Django skills. Budget: $1147-$2908.",15,True,20739,4.000597619049569,9948,fixed,1221,38,good,2026-01-13T00:30:57.231775,generated
spam_5,Easy Online Job - Start Today!!!,No interview needed. Just send your info to jobs@company.com or text 555-222-1111. Get paid daily via PayPal or Western Union.,68,False,243,3.0550987666631926,70381,hourly,115,15,spam,2026-01-13T00:30:57.228202,generated
excellent_20,Senior DevOps Engineer - Long-term Enterprise Project,"We're building a E-commerce SaaS platform for project management and need an experienced DevOps Engineer for ongoing work. Tech stack: React frontend, Java backend, PostgreSQL database, Azure infrastructure. Your responsibilities: architect new features, implement APIs, write comprehensive tests, mentor junior developers, participate in code reviews. Requirements: 10+ years experience, strong TypeScript/Django skills, PostgreSQL design expertise, RESTful API development, CI/CD pipeline knowledge, excellent communication. We value: clean code, documentation, scalability considerations. Long-term engagement: 30 hours/week for ongoing. Rate: $71-$80/hour. Please include: GitHub profile, portfolio, and examples of production applications you've built. We have 100 5-star reviews and perfect payment history.",12,True,119825,4.825688949313529,9927,hourly,11466,82,excellent,2026-01-13T00:30:57.233304,generated
